Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC1114FBD48,LPC1114FBD48/302,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FBD48,LPC1114FBD48/303,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FBD48,LPC1114FBD48/323,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FBD48,LPC1114FBD48/333,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FDH28,LPC1114FDH28,Cortex-M0,50,42,32,4,-,22,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,13,TSSOP28,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FDH28,LPC1114FDH28/102,Cortex-M0,50,42,32,4,-,22,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,13,TSSOP28,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHI33,LPC1114FHI33,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHI33,LPC1114FHI33/302,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHI33,LPC1114FHI33/303,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/201,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/202,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/203,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/301,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/302,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/303,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/333,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/CP3333,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FHN33,LPC1114FHN33/CP3335,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FN28,LPC1114FN28,Cortex-M0,50,42,32,4,-,22,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,13,DIP28,-40 °C to +85 °C,-,N,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114FN28,LPC1114FN28/102,Cortex-M0,50,42,32,4,-,22,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,13,DIP28,-40 °C to +85 °C,-,-,1.8,3.6,Production,OM11085; OM11086; OM11049; OM13035,,,
LPC1114JBD48,LPC1114JBD48,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +105 °C,-,N,1.8,3.6,Production,-,,,
LPC1114JBD48,LPC1114JBD48/303,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1114JBD48,LPC1114JBD48/323,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1114JBD48,LPC1114JBD48/333,Cortex-M0,50,42,32,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1114JHI33,LPC1114JHI33,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,N,1.8,3.6,Production,-,,,
LPC1114JHI33,LPC1114JHI33/303,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
