Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC11E66JBD48,LPC11E66JBD48,Cortex-M0+,50,42,64,12,4,36,-0,-0,-0,-0,4,2,-0,8,12,-0,-0,4,16; 32,2,6,LQFP48,-40 °C to +105 °C,-0,2.4,3.6,Production,LPC11E6X,,,,
LPC11E67JBD100,LPC11E67JBD100,Cortex-M0+,50,42,128,20,4,80,-0,-0,-0,-0,5,2,-0,12,12,-0,-0,4,16; 32,2,6,LQFP100,-40 °C to +105 °C,-0,2.4,3.6,Production,LPC11E6X,,,,
LPC11E67JBD48,LPC11E67JBD48,Cortex-M0+,50,42,128,20,4,36,-0,-0,-0,-0,4,2,-0,8,12,-0,-0,4,16; 32,2,6,LQFP48,-40 °C to +105 °C,-0,2.4,3.6,Production,LPC11E6X,,,,
LPC11E67JBD64,LPC11E67JBD64,Cortex-M0+,50,42,128,20,4,50,-0,-0,-0,-0,4,2,-0,10,12,-0,-0,4,16; 32,2,6,LQFP64,-40 °C to +105 °C,-0,1.8,3.6,Production,LPC11E6X,,,,
LPC11E68JBD100,LPC11E68JBD100,Cortex-M0+,50,42,256,36,4,80,-0,-0,-0,-0,5,2,-0,12,12,-0,-0,4,16; 32,2,6,LQFP100,-40 °C to +105 °C,-0,2.4,3.6,Production,LPC11E6X,,,,
LPC11E68JBD48,LPC11E68JBD48,Cortex-M0+,50,42,256,36,4,36,-0,-0,-0,-0,4,2,-0,8,12,-0,-0,4,16; 32,2,6,LQFP48,-40 °C to +105 °C,-0,2.4,3.6,Production,LPC11E6X,,,,
LPC11E68JBD64,LPC11E68JBD64,Cortex-M0+,50,42,256,36,4,50,-0,-0,-0,-0,4,2,-0,8,10,-0,-0,4,16; 32,2,11,LQFP64,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13058,,,,
LPC11H35FBD64,LPC11H35FBD64,Cortex-M0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,LQFP64,-0,-0,-0,-0,Production,-0,,,,
LPC11H35FBD64,LPC11H35FBD64/401,Cortex-M0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,LQFP64,-0,-0,-0,-0,Production,-0,,,,
LPC11H35FET48,LPC11H35FET48,Cortex-M0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,TFBGA48,-0,-0,-0,-0,Production,-0,,,,
